Ticket ID,Priority,Support Team,Opened Date,Resolved Date,SLA Target Hours,Actual Resolution Hours,Breached SLA,Breach Reason,Incident Category,Business Service,Location,Channel,Customer Segment,Impact,Urgency,Opened Timestamp,Resolved Timestamp,SLA Variance Hours,Reassignment Count,Escalated,Major Incident,Resolution Code,Month,Week of Month,Day of Week
INC1149,P4,Application,2026-04-01,2026-04-03,72,38.4,No,N/A,Application Error,Customer Mobile App,Guadalajara,Chat,Retail Branches,Low,Medium,2026-04-01 12:35,2026-04-03 02:59,-33.6,0,No,No,Configuration corrected,April 2026,1,Wednesday
INC1153,P2,Service Desk,2026-04-01,2026-04-02,8,11.1,Yes,Incorrect assignment,Account Lockout,Access Requests,Guadalajara,Monitoring,Internal Operations,High,Medium,2026-04-01 13:20,2026-04-02 00:26,3.1,3,Yes,No,Routed to correct team,April 2026,1,Wednesday
INC1135,P2,Service Desk,2026-04-01,2026-04-02,8,10.6,Yes,Incorrect assignment,How-to Request,Access Requests,Mexico City,Self-Service Portal,Internal Operations,High,High,2026-04-01 14:40,2026-04-02 01:16,2.6,2,Yes,No,Routed to correct team,April 2026,1,Wednesday
INC1163,P2,Network,2026-04-01,2026-04-02,8,10.4,Yes,Capacity constraint,Packet Loss,Wi-Fi,Puebla,Email,Finance,Medium,Medium,2026-04-01 14:50,2026-04-02 01:14,2.4,2,Yes,No,Capacity increased,April 2026,1,Wednesday
INC1166,P2,Service Desk,2026-04-01,2026-04-02,8,3.4,No,N/A,How-to Request,Password Management,Toronto,Monitoring,Internal Operations,Medium,High,2026-04-01 22:40,2026-04-02 02:04,-4.6,0,Yes,No,User guidance provided,April 2026,1,Wednesday
INC1100,P1,Application,2026-04-02,2026-04-03,4,7.1,Yes,Knowledge gap,Application Error,ERP Platform,Puebla,Monitoring,Sales,High,High,2026-04-02 18:25,2026-04-03 01:31,3.1,1,Yes,Yes,Knowledge article created,April 2026,1,Thursday
INC1133,P1,Application,2026-04-03,2026-04-03,4,6.4,Yes,Delayed troubleshooting,Deployment Defect,CRM Portal,Monterrey,Monitoring,Internal Operations,High,High,2026-04-03 07:00,2026-04-03 13:24,2.4,1,Yes,Yes,Permanent fix applied,April 2026,1,Friday
INC1012,P3,Service Desk,2026-04-03,2026-04-03,24,13.3,No,N/A,How-to Request,Access Requests,Monterrey,Self-Service Portal,Executive Users,Low,Medium,2026-04-03 09:30,2026-04-03 22:48,-10.7,0,No,No,Service restored,April 2026,1,Friday
INC1032,P3,Service Desk,2026-04-03,2026-04-04,24,18.3,No,N/A,How-to Request,IT Service Portal,Mexico City,Email,Finance,Low,Low,2026-04-03 11:45,2026-04-04 06:03,-5.7,0,No,No,Configuration corrected,April 2026,1,Friday
INC1165,P3,Application,2026-04-03,2026-04-03,24,9.8,No,N/A,Integration Failure,Billing System,Guadalajara,Chat,Retail Branches,Medium,Low,2026-04-03 12:35,2026-04-03 22:23,-14.2,0,No,No,Service restored,April 2026,1,Friday
INC1105,P2,Service Desk,2026-04-03,2026-04-03,8,5.9,No,N/A,Access Issue,Knowledge Base,Mexico City,Phone,Retail Branches,High,High,2026-04-03 16:20,2026-04-03 22:14,-2.1,0,No,No,Service restored,April 2026,1,Friday
INC1094,P2,Service Desk,2026-04-04,2026-04-04,8,4.5,No,N/A,Password Reset,End User Support,Mexico City,Phone,Finance,High,High,2026-04-04 09:05,2026-04-04 13:35,-3.5,0,Yes,No,Configuration corrected,April 2026,1,Saturday
INC1056,P4,Workplace,2026-04-05,2026-04-07,72,38.7,No,N/A,Printer Issue,VDI,Mexico City,Email,Executive Users,Low,Low,2026-04-05 17:10,2026-04-07 07:52,-33.3,0,No,No,User guidance provided,April 2026,1,Sunday
INC1167,P1,Application,2026-04-05,2026-04-05,4,2.9,No,N/A,Integration Failure,CRM Portal,Puebla,Chat,Internal Operations,High,High,2026-04-05 19:50,2026-04-05 22:44,-1.1,0,Yes,Yes,Configuration corrected,April 2026,1,Sunday
INC1052,P2,Infrastructure,2026-04-06,2026-04-06,8,16.2,Yes,Backup window conflict,Storage Latency,Database Services,Puebla,Self-Service Portal,Retail Branches,High,High,2026-04-06 03:00,2026-04-06 19:12,8.2,3,Yes,No,Backup schedule adjusted,April 2026,1,Monday
INC1103,P4,Service Desk,2026-04-06,2026-04-08,72,52.6,No,N/A,Misrouted Ticket,Access Requests,Toronto,Email,Internal Operations,Low,Medium,2026-04-06 10:15,2026-04-08 14:51,-19.4,0,No,No,Permanent fix applied,April 2026,1,Monday
INC1140,P3,Application,2026-04-06,2026-04-07,24,28.0,Yes,High ticket volume,Application Error,ERP Platform,Guadalajara,Chat,Retail Branches,Low,Low,2026-04-06 11:15,2026-04-07 15:15,4.0,1,Yes,No,Queue cleared,April 2026,1,Monday
INC1086,P3,Application,2026-04-06,2026-04-07,24,34.9,Yes,Knowledge gap,Deployment Defect,Reporting Platform,Puebla,Chat,External Customers,Low,Low,2026-04-06 11:40,2026-04-07 22:34,10.9,1,Yes,No,Knowledge article created,April 2026,1,Monday
INC1131,P2,Workplace,2026-04-06,2026-04-06,8,4.4,No,N/A,Email/Collaboration,Printing Services,Puebla,Self-Service Portal,Finance,Medium,High,2026-04-06 11:40,2026-04-06 16:04,-3.6,1,No,No,Resolved through workaround,April 2026,1,Monday
INC1064,P3,Workplace,2026-04-06,2026-04-07,24,11.3,No,N/A,Device Issue,Printing Services,Guadalajara,Self-Service Portal,Sales,Low,Low,2026-04-06 14:05,2026-04-07 01:23,-12.7,0,No,No,Known error matched,April 2026,1,Monday
INC1021,P3,Application,2026-04-06,2026-04-06,24,7.1,No,N/A,Integration Failure,CRM Portal,Puebla,Email,Finance,Medium,Low,2026-04-06 15:05,2026-04-06 22:11,-16.9,0,No,No,Permanent fix applied,April 2026,1,Monday
INC1066,P4,Application,2026-04-06,2026-04-09,72,59.8,No,N/A,Performance Degradation,CRM Portal,Mexico City,Email,Finance,Low,Low,2026-04-06 15:35,2026-04-09 03:23,-12.2,0,No,No,Configuration corrected,April 2026,1,Monday
